Row,Study,Data_Type,City,State,Country,Year,Crop,Elevated_CO2_Target_ppm,Elevated_CO2_Achieved_ppm,Ambient_CO2_ppm,FACE_Ring_Diameter_m,SampleCode,Replicate,Ring,Plot,Temperature_Qualitative,Water_Qualitative,Precipitation_mm,Irrigation_mm,Total_Water_mm,Nitrogen_Application_Qualitative,Nitrogen_Application_Quantitative,Phosphorus_Application_Quantitative,Potassium_Application_Quantitative,Sowing_Timing_Qualitative,Sowing_Timing_Quantitative,Cultivar,CO2_Treatment,N_percent,P_percent,K_percent,Ca_percent,Mg_percent,Zn_ppm,Fe_ppm,S_ppm,B_ppm,Mn_ppm,Cu_ppm,Phy_Ext1_Precip1,Phy_Ext1_Precip2,Phy_Ext1_Avg,Phy_Ext2_Precip1,Phy_Ext2_Precip2,Phy_Ext2_Avg,Phy_Ext3_Precip1,Phy_Ext3_Precip2,Phy_Ext3_Avg,Phy_Grand_Avg
2,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-01,1,1,B,Ambient,Wet,171,96,267,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.69,0.33,0.470,0.054,0.123,28.29,31.95,1780,0.95,44,4.9,NA,NA,1.73,NA,NA,2.12,NA,NA,NA,1.92
3,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-02,1,1,C,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.50,0.33,0.490,0.050,0.123,29.4,31.69,1720,0.98,40,5.2,NA,NA,1.92,NA,NA,2.15,NA,NA,NA,2.04
4,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-03,1,1,E,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Janz,aCO2,2.56,0.3,0.460,0.049,0.121,25.02,28.58,1670,1.3,36,4.4,NA,NA,1.28,NA,NA,1.56,NA,NA,NA,1.42
5,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-04,1,1,H,Ambient,Wet,111,96,207,Medium,50,6.75,0,TOS2,8/23/07,Yitpi,aCO2,2.76,0.35,0.510,0.061,0.130,35.68,39.67,1940,1.1,39,5.4,NA,NA,1.70,NA,NA,1.64,NA,NA,NA,1.67
6,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-05,1,1,J,Ambient,Wet,111,96,207,Low,0,6.75,0,TOS2,8/23/07,Yitpi,aCO2,2.89,0.41,0.510,0.062,0.140,37.99,43.63,1930,1.1,48,5.7,NA,NA,3.08,NA,NA,2.85,NA,NA,NA,2.96
7,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-06,1,1,K,Ambient,Wet,111,96,207,Low,0,6.75,0,TOS2,8/23/07,Janz,aCO2,2.72,0.37,0.490,0.056,0.140,34.59,37.74,1790,1.3,42,4.9,NA,NA,2.67,NA,NA,2.55,NA,NA,NA,2.61
8,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-07,1,2,B,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Yitpi,aCO2,2.62,0.33,0.470,0.044,0.131,32.65,39.97,1860,1.4,50,5.8,NA,NA,1.48,NA,NA,1.49,NA,NA,NA,1.49
9,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-08,1,2,C,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Janz,aCO2,2.62,0.33,0.480,0.049,0.135,29.92,34.1,1750,2.1,46,4.9,NA,NA,1.71,NA,NA,1.75,NA,NA,NA,1.73
10,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-09,1,2,E,Ambient,Dry,111,48,159,Medium,50,6.75,0,TOS2,8/23/07,Yitpi,aCO2,2.57,0.29,0.460,0.036,0.127,27.04,35.76,1710,1.3,37,5.2,NA,NA,1.06,NA,NA,1.21,NA,NA,NA,1.13
11,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-10,1,2,H,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.72,0.29,0.450,0.035,0.119,27.43,35.53,1840,1.5,51,5.5,NA,NA,0.89,NA,NA,1.37,NA,NA,NA,1.13
