uniq_ID,foodcode,SourceCode,FOODNAME_ENGLISH,Energy_kcal,Prot_g,Fat_g,Fe_mg,Zn_mg,Folate_mcg,VitB12_mcg,VitA_IU,VitA_RAE,Phytate,fgmajor,fgminor
1,1000,1077,"MILK, COW (cooked nutrients)",60,3.22,3.25,0.03,0.4,4.25,0.352,102,28,0,DAIRY,MILK
2,1001,1095,"MILK, COW, CONSENSED, SWEETENED (cooked nutrients)",321,7.91,8.7,0.19,0.94,9.35,0.352,267,74,0,DAIRY,MILK
3,1002,1090,"MILK, POWDER  (cooked)",496,26.32,26.71,0.47,3.34,37,3.25,915,257,0,DAIRY,MILK
4,1017,1106,"MILK, GOAT, WHOLE, NOT FORTIFIED (cooked nutrients)",69,3.56,4.14,0.05,0.3,0.85,0.056,198,57,0,DAIRY,MILK
6,1100,1116,"YOGURT, WHOLE COW MILK, SWEETENED",61,3.47,3.25,0.05,0.59,7,0.37,99,27,0,DAIRY,YOGURT
7,1101,1116,"YOGURT, WHOLE COW MILK, SOUL",61,3.47,3.25,0.05,0.59,7,0.37,99,27,0,DAIRY,YOGURT
8,1102,1151,CREAM SKIMMED OFF OF TOP OF MILK AFTER BOILING,35,3.41,0.18,0.04,0.4,4.25,0.304,7,2,0,DAIRY,MILK
9,1103,1116,MILK CURD  (cooked nut),61,3.47,3.25,0.05,0.59,7,0.37,99,27,0,DAIRY,MILK
10,2000,13003,"BEEF, ALL TYPES, RAW (cooked nutrients)",251,18.24,19.24,1.85,3.66,4.2,2.1675,0,0,0,MEAT,BEEF
11,2001,13004,"BEEF, ALL TYPES, COOKED",305,25.94,21.54,2.62,5.85,7,2.44,0,0,0,MEAT,BEEF
12,2002,13341,"BEEF, INTESTINES, RAW (cooked nutrients)",85,12.07,3.69,0.5605,1.42,4.25,1.112,0,0,0,MEAT,BEEF
13,2008,13350,"DRIED BEEF MEAT,RAW  (cooked nuts)",153,31.1,1.94,2.42,4.93,10,1.59,0,0,0,MEAT,BEEF
14,2010,4001,BEEF FAT  (cooked nuts),902,0,100,0,0,0,0,0,0,0,MEAT,BEEF
15,2100,15234,"FISH, CATFISH, WITH BONE, RAW  (cooked nutrients)",135,15.55,7.59,0.5,0.74,9,1.8525,45,13.5,0,MEAT,FISH
16,2101,15235,"FISH, CATFISH, COOKED ",152,18.72,8.02,0.82,1.05,7,2.8,50,15,0,MEAT,FISH
17,2102,15008,"FISH, CARP, FRESH, RAW (cooked nutrients)",127,17.83,5.6,1.24,1.48,13.5,1.377,27,8.1,0,MEAT,FISH
18,2103,15009,"FISH, CARP, COOKED",162,22.86,7.17,1.59,1.9,17,1.47,32,10,0,MEAT,FISH
19,2104,368,"FISH, DRIED, SALTED, RAW (general, mostly freshwater) (ckd nut)",306,66.4,2.5,1.4,1.7,35,3.05,0,0,0,MEAT,FISH
20,2105, ,"FISH, DRIED, SALTED, COOKED",153,33.2,1.25,0.7,0.855,17.5,1.525,0,0,0,MEAT,FISH
21,2109,15061,"FISH, PERCH, COOKED",117,24.86,1.18,1.16,1.43,6,2.2,32,10,0,MEAT,FISH
22,2110,15057,"FISH, POMFRET, BLACK, RAW (cooked nutrients)",94,18.62,1.63,0.92,0.48,9,0.9,40,12,0,MEAT,FISH
23,2111,15058,"FISH, POMFRET, BLACK, COOKED",121,23.88,2.09,1.18,0.61,10,1.15,46,14,0,MEAT,FISH
24,2112,15261,"FISH, TILAPIA, FRESH (cooked nutrients)",96,20.08,1.7,0.56,0.33,21.6,1.422,0,0,0,MEAT,FISH
25,2113,15262,"FISH, TILAPIA, COOKED",128,26.15,2.65,0.69,0.41,6,1.86,0,0,0,MEAT,FISH
26,2114,15149,"FISH, SHRIMP, FRESH, RAW (cooked nutrients)",106,20.31,1.73,2.41,1.11,2.25,0.986,171,51.3,0,MEAT,FISH
27,2115,15151,"FISH, SHRIMP, FRESH, COOKED",99,20.91,1.08,3.09,1.56,4,1.49,225,68,0,MEAT,FISH
28,2116,15234,"FISH, FRESHWATER, SMALL, RAW  (cooked nutrients)",135,15.55,7.59,0.5,0.74,9,1.8525,45,13.5,0,MEAT,FISH
29,2117,15235,"FISH, FRESHWATER, SMALL, COOKED",152,18.72,8.02,0.82,1.05,7,2.8,50,15,0,MEAT,FISH
30,2120,15234,"FISH, FRESHWATER, RAW  (cooked nutrients)",135,15.55,7.59,0.5,0.74,9,1.8525,45,13.5,0,MEAT,FISH
31,2121,15235,"FISH, FRESHWATER, COOKED",152,18.72,8.02,0.82,1.05,7,2.8,50,15,0,MEAT,FISH
